name,value,parent
Plant/tree-based<br />natural fibres,116819.4,raw materials
Minerals,77109.2,raw materials
Dedicated crops,25109.9,other natural fibres
Agricultural produts,22301.9,other natural fibres
Animal-based,17450.8,other natural fibres
Mineral products,65825.5,products
Plant/tree-based<br />natural fibre products,39413.5,products
Natural<br />fibre<br />products,20281.8,products
